Pregunta;Opcion 1;Opcion 2;Opcion 3;Opcion 4;Opcion 5;Respuestas
Which AWS services can a company use to gather information about activity in their AWS account? (Select TWO.);AWS CloudTrail; Amazon CloudFront;Amazon Connect;Amazon CloudWatch; AWS Trusted Advisor;1 4
Which of the following will help a user determine if they need to request an Amazon EC2 service limit increase?;AWS Cost Explorer;AWS Trusted Advisor; Amazon RDS;AWS Health Dashboard;;2
A company is planning to deploy an application with a relational database on AWS. The application layer requires access to the database instance�??s operating system in order to run scripts. The company prefer to keep management overhead to a minimum. Which deployment should be used for the database?;Amazon EC2;Amazon S3;Amazon RDS;Amazon DynamoDB;;1
Which design principles are enabled by the AWS Cloud to improve the operation of workloads? (Select TWO.);Minimum viable product; Minimize platform design; Loose coupling;Remove single points of failure;Customized hardware;3 4
Which resource should a new user on AWS use to get help with deploying popular technologies based on AWS best practices including architecture and deployment instructions?;AWS Partner Solutions;AWS CloudFormation;AWS Artifact; AWS Config;;1
A company has many underutilized compute resources on-premises. Which AWS Cloud feature will help resolve this issue?;High availability;Elasticity; Global deployment;Fault tolerance;;2
What can a Cloud Practitioner use to categorize and track AWS costs by project?;Consolidated billing;AWS Trusted Advisor;Cost Allocation Tags; Multiple accounts;;3
A company uses Amazon EC2 instances to run applications that are dedicated to different departments. The company needs to break out the costs of these applications and allocate them to the relevant department. The EC2 instances run in a single VPC. How can the company achieve these requirements?;Add additional Amazon VPCs and launch each application in a separate VPC.;Enable billing access for IAM users and view the costs in Cost Explorer.;Enable billing alerts through Amazon CloudWatch and Amazon SNS.;Create tags by department on the instances and then run a cost allocation report.; ;4
A customer needs to determine Total Cost of Ownership (TCO) for a workload that requires physical isolation. Which hosting model should be accounted for?;Spot Instances;Reserved Instances;On-Demand Instances;Dedicated Hosts;;4
For what purpose would a Cloud Practitioner access AWS Artifact?;Download configuration details for all AWS resources.; Gain access to AWS security and compliance documents.;Access training materials for AWS services.;Create a security assessment report for AWS services.;;2
A company plans to use reserved instances to get discounted pricing for Amazon EC2 instances. The company may need to change the EC2 instance type during the one year period. Which instance purchasing option is the MOST cost-effective for this use case?;Zonal Reserved Instances;Convertible Reserved Instances; Standard Reserved Instances;Regional Reserved Instances;;2
Which AWS service provides a managed software version control system?;AWS DataSync;Amazon CodeDeploy;AWS CodeCommit; AWS CodePipeline;;3
Which of the following AWS services are compute services? (Select TWO.);Amazon EFS;AWS Elastic Beanstalk;AWS Batch;Amazon Inspector; AWS CloudTrail;2 3
Which AWS feature can be used to launch a pre-configured Amazon Elastic Compute Cloud (EC2) instance?;Amazon Machine Image (AMI); Amazon AppStream 2.0;Amazon Elastic Block Store (EBS);Amazon EC2 Systems Manager;;1
How does the AWS cloud increase the speed and agility of execution for customers? (Select TWO.);Private connections to data centers;Fast provisioning of resources; Scalable compute capacity;Lower cost of deployment; Secured data centers;2 3
When running applications in the AWS Cloud  which common tasks can AWS manage on behalf of their customers? (Select TWO.);Patching database software; Application source code auditing; Taking a backup of a database;Creating a database schema;Application security testing;1 3
A company must provide access to AWS resources for their employees. Which security practices should they follow? (Select TWO.);Disable password policies and management console access.;Create IAM Roles and apply them to IAM groups.;Create IAM policies based on least privilege principles.; Enable multi-factor authentication for users.; Create IAM users in different AWS Regions.;3 4
A company is planning to move a number of legacy applications to the AWS Cloud. The solution must be cost-effective. Which approach should the company take?;Use AWS Lambda to host the legacy applications in the cloud.; Rehost the applications on Amazon EC2 instances that are right-sized.;Use an Amazon S3 static website to host the legacy application code.;Migrate the applications to dedicated hosts on Amazon EC2.;;2
What are AWS Identity and Access Management (IAM) access keys used for?;Enabling encryption in transit for web servers.;Ensuring the integrity of log files;Logging in to the AWS Management Console.; Making programmatic calls to AWS from AWS APIs.;;3
Which of the following represents a value proposition for using the AWS Cloud?;AWS is responsible for securing your applications.;AWS provides full access to their data centers.;Customers can request specialized hardware.;It is not necessary to enter into long term contracts.;;4
Which tasks can a user complete using the AWS Cost Management tools? (Select TWO.);Automatically terminate AWS resources if budget thresholds are exceeded.; Move data stored in Amazon S3 Standard to an archiving storage class to reduce cost.;Launch either EC2 Spot instances or On-Demand instances based on the current pricing.;Create budgets and receive notifications if current or forecasted usage exceeds the budgets.; Delete all of your AWS resources with a single click.;1 4
A Cloud Practitioner requires point-in-time recovery (PITR) for an Amazon DynamoDB table. Who is responsible for configuring and performing backups?;The customer is responsible for both tasks.;AWS is responsible for configuring and the user is responsible for performing backups.;AWS is responsible for both tasks.;The customer is responsible for configuring and AWS is responsible for performing backups.;;4
Which type of credential should a Cloud Practitioner use for programmatic access to AWS resources from the AWS CLI/API?;SSH public keys; User name and password;Access keys;SSL/TLS certificate;;3
Which of the following are valid benefits of using the AWS Cloud? (Select TWO.);Total control over data center infrastructure.;Ability to go global quickly.; Outsource all operational risk.;Fast provisioning of IT resources.; Outsource all application development to AWS.;2 4
A company is launching a new website which is expected to have highly variable levels of traffic. The website will run on Amazon EC2 and must be highly available. What is the MOST cost-effective approach?;Create an Amazon EC2 Auto Scaling group and configure an Elastic Load Balancer.; Determine the highest expected traffic and use an appropriate instance type.;Use the AWS CLI to launch and terminate Amazon EC2 instances to match demand.;Launch the website using an Amazon EC2 instance running on a dedicated host.;;1
A company runs a batch job on an Amazon EC2 instance and it takes 6 hours to complete. The workload is expected to double in volume each month with a proportional increase in processing time. What is the most efficient cloud architecture to address the growing workload?;Change the Amazon EC2 volume type to a Provisioned IOPS SSD volume.; Run the batch job on a larger Amazon EC2 instance type with more CPU.;Run the batch workload in parallel across multiple Amazon EC2 instances.;Run the application on a bare metal Amazon EC2 instance.;;3
A company is deploying an application in the AWS Cloud. How can they secure the application? (Select TWO.);Provide full admin access to developer and operations staff.;Configure public access for the AWS services used by the application.;Enable monitoring by turning off encryption for data in transit.;Enable encryption for the application data at rest.; Limit access privileges according to the principal of least privilege.;4 5
An individual IAM user must be granted access to an Amazon S3 bucket using a bucket policy. Which element in the S3 bucket policy should be updated to define the user account for which access will be granted?;Action;Resource;Principal;Condition;;3
A company plans to deploy a relational database on AWS. The IT department will perform database administration. Which service should the company use?;Amazon EC2;Amazon ElastiCache;Amazon RedShift;Amazon DynamoDB;;1
A Cloud Practitioner anticipates an increase in application traffic at a future date and time when a sales event will take place. How can the Cloud Practitioner configure Amazon EC2 Auto Scaling to ensure the right number of Amazon EC2 instances are available ahead of the event?;Configure a target tracking scaling policy.;Configure predictive scaling.;Configure a scheduled scaling policy.; Configure a step scaling policy.;;3
A company is deploying a MySQL database on AWS. The database must easily scale and have automatic backup enabled. Which AWS service should the company use?;Amazon DocumentDB;Amazon Athena;Amazon Aurora;Amazon DynamoDB;;3
A Cloud Practitioner needs to monitor a new Amazon EC2 instances CPU and network utilization. Which AWS service should be used?;AWS CloudTrail;Amazon CloudWatch; AWS Systems Manager;Amazon Inspector;;2
A company has multiple AWS accounts and is using AWS Organizations with consolidated billing. Which advantages will they benefit from? (Select TWO.);They will receive a fixed discount for all usage across accounts.;They may benefit from lower unit pricing for aggregated usage.; The default service limits in all accounts will be increased.;They will receive one bill for the accounts in the Organization.;They will be automatically enrolled in a business support plan.;2 4
Customers using AWS services must patch operating systems on which of the following services?;Amazon EC2; AWS Lambda;AWS Fargate;Amazon DynamoDB;;1
A company is migrating a monolithic application that does not scale well into the cloud and refactoring it into a microservices architecture. Which best practice of the AWS Well-Architected Framework does this plan relate to?;Stop spending money on undifferentiated heavy lifting.;Manage change in automation.;Use multiple solutions to improve performance.; Implement loosely coupled services.;;4
A user is planning to launch three EC2 instances behind a single Elastic Load Balancer. The deployment should be highly available. How should the user achieve this?;Launch the instances as EC2 Spot Instances in the same AWS Region and the same Availability Zone.;Launch the instances across multiple Availability Zones in a single AWS Region;Launch the instances as EC2 Reserved Instances in the same AWS Region; but in different Availability Zones.;Launch the instances in multiple AWS Regions and use Elastic IP addresses.;2
Which AWS service or feature can assist with protecting a website that is hosted outside of AWS?;AWS Web Application Firewall (WAF); Amazon EC2 security groups;Amazon VPC network ACLs;Amazon VPC route tables;;1
A company is deploying a new workload and software licensing requirements dictate that the workload must be run on a specific physical server. Which Amazon EC2 instance deployment option should be used? ;Spot Instances;Reserved Instances;Dedicated Instances;Dedicated Hosts;;4
Which of the following deployments involves the reliability pillar of the AWS Well-Architected Framework?;Amazon RDS Multi-AZ deployment;Use CloudFormation to deploy infrastructure;Attach a WebACL to a CloudFront distribution;Amazon EBS provisioned IOPS volume;;1
A company is designing a new a service that must align with the operational excellence pillar of the AWS Well-Architected Framework. Which design principles should the company follow? (Select TWO.);Perform operations as code.;Make large-scale changes;Create static operational procedures;Anticipate failure.;Perform manual operations;1 4
Which benefits can a company gain by deploying a relational database on Amazon RDS instead of Amazon EC2? (Select TWO.);Schema management;Automated backups;Indexing of tables;Root access to OS;Software patching;2 5
A company is deploying an application on Amazon EC2 that requires low-latency access to application components in an on-premises data center. Which AWS service or resource can the company use to extend their existing VPC to the on-premises data center?;AWS Outposts;AWS Direct Connect;Amazon Connect;Amazon Workspaces;;1
A user needs to identify underutilized Amazon EC2 instances to reduce costs.;AWS Health Dashboard;AWS Cost Explorer;AWS CodeBuild;AWS Trusted Advisor;;4
Which of the following AWS features or services can be used to provide root storage volumes for Amazon EC2 instances?;Amazon Simple Storage Service (S3);Amazon Machine Image;Amazon Elastic Block Store (EBS);Amazon Elastic File System (EFS);;3
Which AWS-managed service can be used to process vast amounts of data using a hosted Hadoop framework? ;Amazon EMR;Amazon DynamoDB;Amazon Redshift;Amazon Athena;;1
A Cloud Practitioner noticed that IP addresses that are owned by AWS are being used to attempt to flood ports on some of the company�??s systems. To whom should the issue be reported?;AWS Partner Network (APN);AWS Technical Account Manager (TAM);AWS Professional Services;AWS Trust & Safety team;;4
How can an organization take advantage of tiered pricing across multiple business units within an organization? ;AWS Organizations service control policies (SCPs).;Cost Explorer utilization reports.;All Upfront Reserved Instances;AWS Organizations consolidated billing.;;4
What can be used to allow an application running on an Amazon EC2 instance to securely store data in an Amazon S3 bucket without using long-term credentials? ;AWS Systems Manager;AWS IAM role;Amazon Connect;AWS IAM access key;;2
According to the AWS Shared responsibility model  which two tasks are the responsibility of AWS? (Select TWO.);Perform identity and access management.;Encrypt client-side data and authenticate data integrity.;Provide physical security for Availability Zones.;Manage customer data;Patch the operating system of Amazon S3;3 5
A Cloud Practitioner requires a simple method to identify if unrestricted access to resources has been allowed by security groups. Which service can the Cloud Practitioner use? ;AWS Trusted Advisor;AWS CloudTrail;VPC Flow Logs;Amazon CloudWatch;;1
What should a Cloud Practitioner ensure when designing a highly available architecture on AWS? ;Servers have low-latency and high throughput network connectivity.;The failure of a single component should not affect the application.;A single monolithic application component handles all operations.;There are enough servers to run at peak load available at all times.;;2
Which Amazon EC2 tool acts as a virtual firewall to control inbound and outbound traffic to an EC2 instance? ;Security group;AWS WAF;Network access control list (ACL);AWS Shield;;1
A Service Control Policy (SCP) is used to manage the maximum available permissions and is associated with which of the following? ;AWS Organizations;AWS Global Infrastructure;Availability Zones;AWS Regions;;1
Which Amazon EC2 pricing model should be avoided if a workload cannot accept interruption if capacity becomes temporarily unavailable? ;Standard Reserved Instances;Spot Instances;On-Demand Instances;Convertible Reserved Instances;;2
According to the shared responsibility mode  which security and compliance task is AWS responsible for?;Granting permissions to users and services;Updating Amazon EC2 host firmware;Updating operating systems;Encrypting data at rest;;2
A company has a global user base and needs to deploy AWS services that can decrease network latency for their users. Which services may assist? (Select TWO.) ;AWS Direct Connect;Amazon VPC;Application Auto Scaling;AWS Global Accelerator;Amazon CloudFront;4 5
According to the shared responsibility model  which security-related task is the responsibility of the customer?;Maintaining physical networking configuration.;Securing servers and racks at AWS data centers;Maintaining server-side encryption.;Maintaining firewall configurations at a hardware level.;;3
A company is interested in moving its on-premises NoSQL database into the AWS Cloud. Which AWS service should the company use to replace their existing database?;Amazon RDS for MySQL;Amazon Redshift;Amazon Quantum Ledger Database (Amazon QLDB);Amazon DynamoDB;;3
Which service can a Cloud Practitioner use to configure custom cost and usage limits and enable alerts for when defined thresholds are exceeded? ;AWS Budgets;Cost Explorer;Consolidated billing;AWS Trusted Advisor;;1
Which benefit of AWS enables companies to replace upfront fixed expenses with variable expenses when using on-demand technology services? ;Pay-as-you-go pricing;High availability;Economies of scale;Global reach;;1
A user needs an automated security assessment report that will identify unintended network access to Amazon EC2 instances and vulnerabilities on those instances. Which AWS service will provide this assessment report?;AWS Config;Amazon Macie;Amazon Inspector;EC2 security groups;;3
A company requires a dashboard for reporting when using a business intelligence solution. Which AWS service can a Cloud Practitioner use? Which AWS service can be used?;Amazon Athena;Amazon QuickSight;Amazon Kinesis;Amazon Redshift;;2
Which AWS service should a Cloud Practitioner use to automate con���guration management using Puppet? ;AWS Config;AWS Systems Manager;AWS OpsWorks;AWS CloudFormation;;3
A company needs a consistent and dedicated connection between AWS resources and an on-premise system. Which AWS service can ful���l this requirement?;AWS Direct Connect;Amazon Connect;AWS Managed VPN;AWS DataSync;;1
Which AWS service is used to send both text and email messages from distributed applications? ;Amazon Simple Queue Service (Amazon SQS);Amazon Simple Email Service (Amazon SES;Amazon Simple Workflow Service (Amazon SWF);Amazon Simple Noti���cation Service (Amazon SNS);;4
AWS are able to continue to reduce their pricing due to: ;Economies of scale;The AWS global infrastructure;Pay-as-you go pricing;Reserved instance pricing;;1
Which cloud architecture design principle is supported by deploying workloads across multiple Availability Zones? ;Enable elasticity.;Automate infrastructure.;Design for agility.;Design for failure.;;4
A Cloud practitioner wants to know if there are services which can protect from DDoS (Distributed Denial of Service) attacks directed at AWS services. Which AWS service or tool will provide this protection?;AWS Shield;Amazon GuardDuty;Network access control list (ACL);Security group;;1
Which of the following tasks can a user perform to optimize Amazon EC2 costs? (Select TWO.) ;Create a policy to restrict IAM users from accessing the Amazon EC2 console.;Set a budget to limit spending on Amazon EC2 instances using AWS Budgets.;Create users in a single Region to reduce the spread of EC2 instances globally.;Implement Auto Scaling groups to add and remove instances based on demand.;Purchase Amazon EC2 Reserved Instances.;4 5
Which combination of steps will enable multi-factor authentication (MFA) on an AWS account? (Select TWO. ;Contact AWS Support to initiate MFA activation.;Activate the MFA device by using Amazon GuardDuty.;Activate AWS Shield on an MFA-compatible device.;Activate the MFA device in the IAM console or by using the AWS CLI.;Acquire an MFA-compatible device.;4 5
Which of the following statements are security principles within the AWS Well-Architected Framework? (Select TWO.) ;Monitor alert and audit actions and changes to AWS resources.;Analyze and attribute expenditures.;Deploy globally in minutes.;Protect data in transit and at rest.;Perform operations as code.;1 4
What AWS service  tool or feature can help companies identify underutilized Amazon EC2 instances and reduce their costs?;Amazon Inspector;AWS Trusted Advisor;Cost Explorer;Consolidated billing;;2
A Cloud Practitioner is re-architecting a monolithic application. Which design principles for cloud architecture do AWS recommend? (Select TWO.) ;Use self-managed servers.;Implement loose coupling.;Rely on individual components.;Design for scalability.;Implement manual scalability.;2 4
An eCommerce company plans to use the AWS Cloud to quickly deliver new functionality in an iterative manner  minimizing the time to market. Which feature of the AWS Cloud provides this functionality?;Cost effectiveness;Agility;Fault tolerance;Elasticity;;2
Which of the following should be used to improve the security of access to the AWS Management Console? (Select TWO.) ;Strong password policies;AWS Secrets Manager;AWS Certi���cate Manager;AWS Multi-Factor Authentication (AWS MFA);Security group rules;4
What is the function of Amazon EC2 Auto Scaling? ;Scales the size of EC2 instances up or down automatically  based on demand.;Scales the number of EC2 instances in or out automatically  based on demand.;Automatically modifies the network throughput of EC2 instances based on demand;Automatically updates the EC2 pricing model based on demand.;;2
Which AWS service can be used to run Docker containers? ;AWS Lambda;Amazon AMI;Amazon ECR;Amazon ECS;;4
A company needs an AWS service that can continuously monitor the company's AWS account. If there are any changes to the architecture  members of the team must be contacted. Which service will meet these requirements?;AWS Trusted Advisor;AWS Config;Amazon GuardDuty;Amazon Macie;;2
How can an organization gain access to compliance reports natively through the AWS console? ;AWS Identity and Access Management (IAM);AWS Certificate Manager (ACM);AWS Security Hub;AWS Artifact;;4
Which AWS service should a Cloud Practitioner use to establish a secure network connection between an on-premises network and AWS? ;AWS Mobile Hub;Amazon Virtual Private Cloud (VPC);AWS Web Application Firewall (WAF);Virtual Private Network;;4
Which AWS dashboard displays relevant and timely information to help users manage events in progress  and provides proactive notifications to help plan for scheduled activities?;AWS Service Health Dashboard;AWS Trusted Advisor dashboard;Amazon CloudWatch dashboard;AWS Personal Health Dashboard;;4
A cloud practitioner needs to migrate a 70 TB of data from an on-premises data center into the AWS Cloud. The company has a slow and unreliable internet connection. Which AWS service can the cloud practitioner leverage to transfer the data?;AWS Storage Gateway;Amazon S3 Glacier;AWS Snowball;AWS DataSync;;3
What can a Cloud Practitioner use the AWS Total Cost of Ownership (TCO) Calculator for? ;Generate reports that break down AWS Cloud compute costs by duration resource or tags;Estimate savings when comparing the AWS Cloud to an on-premises environment;Enable billing alerts to monitor actual AWS costs compared to estimated costs;Estimate a monthly bill for the AWS Cloud resources that will be used;;2
A Cloud Practitioner wants to configure the AWS CLI for programmatic access to AWS services. Which credential components are required? (Select TWO.) ;A public key;A secret access key;An access key ID;A private key;An IAM Role;2 3
Which AWS service can be used to perform data extract  transform and load (ETL) operations so you can prepare data for analytics?;Amazon Athena;Amazon QuickSight;Amazon S3 Select;AWS Glue;;4
Which of the following best describes an Availability Zone in the AWS Cloud? ;A subnet for deploying resources into;A completely isolated geographic location;One or more physical data centers;One or more edge locations based around the world;;3
A user has limited knowledge of AWS services  but wants to quickly deploy a scalable Node.js application in an Amazon VPC. Which service should be used to deploy the application?;AWS Elastic Beanstalk;AWS CloudFormation;Amazon LightSail;Amazon EC2;;1
Which technology can automatically adjust compute capacity as demand for an application increases or decreases? ;High availability;Fault tolerance;Load balancing;Auto Scaling;;4
Amazon S3 is typically used for which of the following use cases? (Select TWO.) ;Install an operating system;Message queue;In-memory data cache;Media hosting;Host a static website;4 5
Which AWS service does AWS Snowball Edge natively support? ;AWS Trusted Advisor;AWS Server Migration Service (AWS SMS);AWS Database Migration Service (AWS DMS);Amazon EC2;;4
Which of the following is an advantage for a company running workloads in the AWS Cloud vs on-premises? (Select TWO.) ;Increased productivity for application development teams.;Less staff time is required to launch new workloads.;Lower overall utilization of server and storage systems.;Higher acquisition costs to support elastic workloads.;Increased time to market for new application features.;1 2
Which AWS hybrid storage service enables a user�??s on-premises applications to seamlessly use AWS Cloud storage? ;AWS Direct Connec;AWS Backup;AWS Storage Gateway;Amazon Connect;;3
Which of the statements below is correct in relation to Consolidated Billing? (Select TWO.) ;You receive one bill per AWS account;You receive a single bill for multiple accounts;You pay a fee per linked account;You are charged a fee per user;You can combine usage and share volume pricing discounts;2 5
Which AWS service is a fully-managed source control service that hosts secure Git-based repositories? ;AWS CodeCommit;AWS CodeBuild;AWS CodePipeline;AWS CodeDeploy;;1
Which on-premises costs must be included in a Total Cost of Ownership (TCO) calculation when comparing against the AWS Cloud? (Select TWO.) ;Physical compute hardware;Operating system administration;Database schema development;Project management services;Network infrastructure in the data center;1 5
A company needs to use third-party software for its workload on AWS. Is there a feature or service of AWS that the company can use to purchase the software?;AWS Resource Access Manager;AWS License Manage;AWS Managed Services;AWS Marketplace;;4
Which AWS service helps customers meet corporate  contractual and regulatory compliance requirements for data security by using dedicated hardware appliances within the AWS Cloud?;AWS Directory Service;AWS Key Management Service (AWS KMS);AWS Secrets Manager;AWS CloudHSM;;4
How should an organization deploy an application running on multiple EC2 instances to ensure that a power failure does not cause an application outage? ;Launch the EC2 instances into different VPCs;Launch the EC2 instances in separate regions;Launch the EC2 instances into different Availability Zones;Launch the EC2 instances into Edge Locations;;3
Which benefits can a company immediately realize using the AWS Cloud? (Select TWO.) ;Increased agility;User control of physical infrastructure;No responsibility for security;Capital expenses are replaced with variable expenses;Variable expenses are replaced with capital expenses;1 4
According to the AWS shared responsibility model  which task is the customer's responsibility?;Updating the guest operating system on Amazon EC2 instances.;Updating the operating system of AWS Lambda instances.;Maintaining the infrastructure needed to run Amazon DynamoDB.;Maintaining Amazon API Gateway infrastructure.;;1
A company plan to move the application development to AWS. Which benefits can they achieve when developing and running applications in the AWS Cloud compared to on-premises? (Select TWO.) ;AWS automatically replicates all data globally.;AWS takes care of application security patching.;AWS can accommodate large changes in application demand.;AWS will fully manage the entire application.;AWS makes it easy to implement high availability.;3 5
Which AWS services offer compute capabilities? (Select TWO.) ;Amazon EFS;Amazon ECS;Amazon DynamoDB;AWS Lambda;Amazon CloudHSM;2 4
Which of the following can be used to identify a specific user who terminated an Amazon RDS DB instance? ;AWS CloudTrail;Amazon Inspector;AWS Trusted Advisor;Amazon CloudWatch;;1
Which AWS service or feature allows a company to receive a single monthly AWS bill when using multiple AWS accounts? ;Consolidated billing;AWS Cost Explorer;Amazon Cloud Directory;AWS Cost and Usage report;;1
Which AWS service can be used to load data from Amazon S3  transform it and move it to another destination?;Amazon RedShift;Amazon EMR;Amazon Kinesis;AWS Glue;;4
Which AWS service can act as a hybrid storage solution to connect on-premises workloads with the AWS cloud? ;AWS Direct Connect;AWS Storage Gateway;AWS Backup;Amazon Connect;;2
An application has highly dynamic usage patterns. Which characteristics of the AWS Cloud make it cost-effective for this type of workload? (Select TWO.) ;Reliability;Elasticity;Pay-as-you-go pricing;High availability;Strict security;2 3
A company is migrating virtual machines (VMs) from their data center to the AWS Cloud. The company plans to deploy these migrated machines on Amazon EC2. Which cloud computing model will the company use for this operation?;Software as a Service (SaaS);Function as a Service (FaaS);Platform as a Service (PaaS);Infrastructure as a Service (IaaS);;4
Which of the following AWS features or services can be used to provide root storage volumes for Amazon EC2 instances?;Amazon Simple Storage Service (S3);Amazon Machine Image;Amazon Elastic Block Store (EBS); Amazon Elastic File System (EFS);;1 2
Which service allows an organization to view operational data from multiple AWS services through a unified user interface and automate operational tasks?;Amazon CloudWatch;AWS Systems Manager;AWS Config;AWS OpsWorks;;2
A company has many different business units all using the same AWS services to manage their different applications. Which AWS service or tool can the company use to receive volume discounts across multiple AWS accounts?;AWS Cost and Usage Report;Cost Explorer;AWS Organizations;AWS Budgets;;3
Which IAM entity is associated with an access key ID and secret access key?;IAM Group;IAM Role;IAM User;IAM Policy;;3
Are there any AWS services or features that will identify and search for externally shared AWS resources?;Amazon OpenSearch Service (Amazon Elasticsearch Service).;AWS IAM Access Analyzer.;AWS Fargate.;AWS Control Tower.;;2
To gain greater discounts which services can be reserved? (Select TWO.);Amazon S3;AWS Lambda;Amazon DynamoDB;Amazon RedShift;Amazon CloudWatch;3 4
A company has a website that delivers static content from an Amazon S3 bucket to users from around the world. Which AWS service will deliver the content with low latency?;AWS Lambda;AWS Elastic Beanstalk;Amazon CloudFront;AWS Global Accelerator;;3
Which of the following are advantages of the AWS Cloud? (Select TWO.);Trade variable expenses for capital expenses.;Launch globally in minutes.;High economies of scale.;Focus on managing hardware infrastructure.;Overprovision to ensure capacity.;2 3
Which of the following are advantages of the AWS Cloud? (Select TWO.);Expenses never change from month to month.;Users do not need to deploy applications globally.;Users can stop guessing about resource capacity.;AWS manages all the security within the cloud.;Users can stop spending money on the maintenance of data centers.;3 5
How does the AWS global infrastructure offer high availability and fault tolerance to customers?;The AWS infrastructure consists of subnets containing various Availability Zones with multiple data centers located in the same geographic location.;The AWS infrastructure is made up of multiple AWS Regions within various Availability Zones located in areas that have low flood risk and are interconnected with low-latency networks and redundant power supplies.;The AWS infrastructure consists of isolated AWS Regions with independent Availability Zones that are connected with low-latency networking and redundant power supplies.;AWS allows users to choose AWS Regions and data centers so that users can select the closest data centers in different Regions.;;3
Which AWS service can be used to track the activity of users on AWS?;AWS Directory Service;Amazon Inspector;AWS CloudTrail;Amazon CloudWatch;;3
Which service can be used to easily create multiple accounts?;Amazon Connect;AWS IAM;AWS CloudFormation;AWS Organizations;;4
